,,Zig,,,,,,,,Go,,,,,,,,Rust,,,,,,,,Control,,,,,,,,All Averages,,,
,Run time (s),121.041057,119.399084,118.914037,117.51418,116.172131,116.172131,121.041057,118.6080978,112.402704,113.24238,114.27191,114.230357,114.369563,112.402704,114.369563,113.7033828,148.401287,148.950774,146.926277,147.550096,147.734861,146.926277,148.950774,147.912659,,,,,,,,,Run time (s),118.6080978,113.7033828,147.912659
,Queries per second,41308.29756,41876.36816,42047.18069,42548.05675,43039.58236,41308.29756,43039.58236,42163.89711,44482.91564,44153.08121,43755.28509,43771.20173,43717.9252,43717.9252,44482.91564,43976.08177,33692.42344,33568.10351,34030.64518,33886.76887,33844.37476,33568.10351,34030.64518,33804.46315,,,,,,,,,Queries per second,42163.89711,43976.08177,33804.46315
,Average Latency (s),0.002404,0.002372,0.002364,0.002333,0.002305,0.002305,0.002404,0.0023556,0.002084,0.002103,0.002122,0.002123,0.002123,0.002084,0.002123,0.002111,0.002921,0.002939,0.002896,0.00291,0.002912,0.002896,0.002939,0.0029156,,,,,,,,,Average Latency (s),0.0023556,0.002111,0.0029156
,Min Latency (s),0.000056,0.000056,0.000054,0.000048,0.000049,0.000048,0.000056,0.0000526,0.000053,0.000052,0.000047,0.000053,0.000043,0.000043,0.000053,0.0000496,0.000104,0.000082,0.000077,0.000084,0.000069,0.000069,0.000104,0.0000832,,,,,,,,,Min Latency (s),0.0000526,0.0000496,0.0000832
,Max Latency (s),0.019346,0.007957,0.016359,0.019439,0.007893,0.007893,0.019439,0.0141988,0.01256,0.010158,0.010508,0.009654,0.009157,0.009157,0.01256,0.0104074,0.010111,0.014554,0.014683,0.013583,0.01397,0.010111,0.014683,0.0133802,,,,,,,,,Max Latency (s),0.0141988,0.0104074,0.0133802
,Latency StdDev (s),0.000492,0.000449,0.000449,0.000456,0.00045,0.000449,0.000492,0.0004592,0.000693,0.000694,0.000709,0.0007,0.000699,0.000693,0.000709,0.000699,0.00056,0.000491,0.000538,0.000506,0.000523,0.000491,0.00056,0.0005236,,,,,,,,,Latency StdDev (s),0.0004592,0.000699,0.0005236
Accept All (Worker Threads),perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perf,,,
,cycles,1774488,2014988,1560587,1596539,2011236,1560587,2014988,1791567.6,2338903,2255069,1949022,1508398,2234672,1508398,2338903,2057212.8,2122236,2514958,2050286,2129397,1965825,1965825,2514958,2156540.4,,,,,,,,,cycles,1791567.6,2057212.8,2156540.4
,instructions,1016396,1047408,986694,996083,1006236,986694,1047408,1010563.4,1024245,1034924,1021503,1016598,1004028,1004028,1034924,1020259.6,996880,1004804,1003429,992299,1031640,992299,1031640,1005810.4,,,,,,,,,instructions,1010563.4,1020259.6,1005810.4
,cache-references,382950,384415,372394,373678,378638,372394,384415,378415,389365,394882,387562,375988,372356,372356,394882,384030.6,374007,377472,374958,372262,391551,372262,391551,378050,,,,,,,,,cache-references,378415,384030.6,378050
,cache-misses,9388,8351,8645,8724,8978,8351,9388,8817.2,9286,10512,8872,8998,8757,8757,10512,9285,9218,9520,8518,8033,9749,8033,9749,9007.6,,,,,,,,,cache-misses,8817.2,9285,9007.6
,branches,198249,215340,193516,194605,196638,193516,215340,199669.6,201096,203033,201309,200486,197812,197812,203033,200747.2,194797,196841,197333,196300,201594,194797,201594,197373,,,,,,,,,branches,199669.6,200747.2,197373
,branch-misses,11334,12405,11093,11206,11217,11093,12405,11451,11961,12005,12677,9756,9394,9394,12677,11158.6,9905,10784,11615,11442,12735,9905,12735,11296.2,,,,,,,,,branch-misses,11451,11158.6,11296.2
,page-faults,23,23,22,23,22,22,23,22.6,29,29,30,30,29,29,30,29.4,23,22,22,23,23,22,23,22.6,,,,,,,,,page-faults,22.6,29.4,22.6
,context-switches,3,4,2,1,2,1,4,2.4,2,6,2,2,1,1,6,2.6,2,2,2,2,5,2,5,2.6,,,,,,,,,context-switches,2.4,2.6,2.6
,cpu-migrations,0,1,0,0,0,0,1,0.2,1,0,1,0,0,0,1,0.4,0,1,0,0,0,0,1,0.2,,,,,,,,,cpu-migrations,0.2,0.4,0.2
,LLC-load-misses,7968,8681,6878,7752,11004,6878,11004,8456.6,11574,12407,10708,8465,11348,8465,12407,10900.4,14973,13968,13362,12971,14746,12971,14973,14004,,,,,,,,,LLC-load-misses,8456.6,10900.4,14004
,time elapsed (s),54.0544072,55.05663988,54.05394085,55.05522146,55.05620888,54.05394085,55.05663988,54.65528365,105.063083,106.0672706,106.0631734,106.0646311,106.0677102,105.063083,106.0677102,105.8651737,38.04070283,37.04091819,36.04459703,36.03842174,35.03503114,35.03503114,38.04070283,36.43993419,,,,,,,,,time elapsed (s),54.65528365,105.8651737,36.43993419
,dnsperf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dnsperf,,,
,Queries sent,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,,,,,,,,,Queries sent,5000000,5000000,5000000
,Queries completed,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,4999998,4999999,4999997,4999999,4999997,4999997,4999999,4999998,,,,,,,,,Queries completed,5000000,5000000,4999998
,Queries lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,3,1,3,2,,,,,,,,,Queries lost,0,0,2
